nick,created,pinUrl,pinAnchor,fullBodyPin,url,id,countryCode,brLevel,brDivision,progressXp,progressLevel,progressLevelxp,progressNextlevel,progressNextlevelxp,progressTitleId,progressTitleTierid,competitiveElo_deprecated,competitiveRating_deprecated,competitiveLastratingchange_deprecated,competitiveDivisionType_deprecated,competitiveDivisionStartrating_deprecated,competitiveDivisionEndrating_deprecated,competitiveOnleaderboard_deprecated,lastNameChange,lastNickOrCountryChange,isBanned,chatBan,nameChangeAvailableAt,avatarFullbodypath,isBotUser,suspendedUntil,rankedTeamDuelsStandardNumgamesplayed,rankedTeamDuelsStandardNumwins,rankedTeamDuelsStandardWinratio,rankedTeamDuelsNoMoveNumgamesplayed,rankedTeamDuelsNoMoveNumwins,rankedTeamDuelsNoMoveWinratio,rankedTeamDuelsNmpzNumgamesplayed,rankedTeamDuelsNmpzNumwins,rankedTeamDuelsNmpzWinratio,rankedTeamDuelsTotalNumgamesplayed,rankedTeamDuelsTotalNumwins,rankedTeamDuelsTotalWinratio,battleRoyaleDistanceNumgamesplayed,battleRoyaleDistanceAvgposition,battleRoyaleDistanceNumwins,battleRoyaleDistanceWinratio,battleRoyaleDistanceAvgguessdistance,battleRoyaleDistanceNumguesses,battleRoyaleCountryNumgamesplayed,battleRoyaleCountryAvgposition,battleRoyaleCountryNumwins,battleRoyaleCountryWinratio,battleRoyaleCountryNumguesses,battleRoyaleCountryAvgcorrectguesses,battleRoyaleMedalsMedalcountgold,battleRoyaleMedalsMedalcountsilver,battleRoyaleMedalsMedalcountbronze,competitiveCityStreaksNumgamesplayed,competitiveCityStreaksAvgposition,competitiveCityStreaksNumwins,competitiveCityStreaksWinratio,competitiveCityStreaksNumguesses,competitiveCityStreaksAvgcorrectguesses,competitiveStreaksMedalsMedalcountgold,competitiveStreaksMedalsMedalcountsilver,competitiveStreaksMedalsMedalcountbronze,duelsNumgamesplayed,duelsAvgposition,duelsNumwins,duelsWinratio,duelsAvgguessdistance,duelsNumguesses,duelsNumflawlesswins,duelsNoMoveNumgamesplayed,duelsNoMoveAvgposition,duelsNoMoveNumwins,duelsNoMoveWinratio,duelsNoMoveAvgguessdistance,duelsNoMoveNumguesses,duelsNoMoveNumflawlesswins,duelsNmpzNumgamesplayed,duelsNmpzAvgposition,duelsNmpzNumwins,duelsNmpzWinratio,duelsNmpzAvgguessdistance,duelsNmpzNumguesses,duelsNmpzNumflawlesswins,duelsTotalNumgamesplayed,duelsTotalAvgposition,duelsTotalNumwins,duelsTotalWinratio,duelsTotalAvgguessdistance,duelsTotalNumguesses,duelsTotalNumflawlesswins,duelsMedalsMedalcountgold,duelsMedalsMedalcountsilver,duelsMedalsMedalcountbronze,lifeTimeXpProgressionCurrentlevelLevel,lifeTimeXpProgressionCurrenttitleName,teamDuelsNumgamesplayed,teamDuelsNumwins,teamDuelsWinratio,perfectRounds,divisionNumber,divisionName,rating,tier,gameModeRatingsNomoveduels,gameModeRatingsNmpzduels,guessedFirstRate,winStreak,divisionNumberBest,divisionPositionBest,divisionNameBest,divisionTierBest,gameModeRatingsStandardduels,positionDuelsLeaderboard,ratingPast14Days,duelsTotalNumgamesplayedPast14Days,datesPast14Days,current_time
Eur,2024-03-21,pin/d35cbd87da0f11ee6509cb0039d686b9.png,center-center,pin/2671190598118baa9e8dfad2a60b4e3b.png,/user/65fc3453702bba73b4c0a398,65fc3453702bba73b4c0a398,Japan,114,50,597564,114,596870,115,611010,320,120,1199,1700,-18,50,1100,1500,1.0,2025-01-17T20:34:05.1960000Z,2025-01-17T20:34:05.1960000Z,0.0,0.0,,pin/2671190598118baa9e8dfad2a60b4e3b.png,0.0,,6,4,0.6665,337,248,0.736,152,99,0.6514,495,351,0.709,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,72,1.069,67,93.06,218.0,367,33,2564,1.441,1431,55.8,369.0,25058,106,1085,1.454,592,54.56,665.5,9484,40,3721,1.322,2090,56.16,417.5,34909,179,0,0,0,114,Master Explorer Supreme,1,1,1.0,762,1.0,Champion,2228.0,Champion,2086.0,1986.0,0.3376,3.0,1.0,2.0,Champion,Champion,,1.0,"[2103, 2103, 2145, 2145, 2157, 2166, 2166, 2166, 2166, 2166, 2166, 2166, 2178, 2229]","[0, 0, 3, 3, 4, 5, 5, 5, 5, 5, 5, 5, 6, 12]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
Radu C,2016-09-09,pin/55eacd62683a0ade2ab54f4f269b57fd.png,center-center,pin/95f6f99fba3e5ea937628fddd05c9576.png,/user/57d301d409f2efcce834fc94,57d301d409f2efcce834fc94,United States of America,140,50,1059658,140,1040010,141,1060380,350,150,1602,2103,13,50,1100,1500,1.0,2024-01-05T16:24:45.4920000Z,2024-01-05T16:24:45.4920000Z,0.0,0.0,,pin/95f6f99fba3e5ea937628fddd05c9576.png,0.0,,16,9,0.5625,118,96,0.8135,98,68,0.694,232,173,0.7456,44,2.158,24,54.56,683.5,117,120,2.625,81,67.5,40,95.0,5,3,0,0,0.0,0,0.0,0,0.0,0,0,0,1066,1.128,930,87.25,182.1,9242,94,1056,1.267,774,73.3,284.8,9837,85,223,1.278,161,72.2,486.0,1825,16,2345,1.225,1865,79.5,317.8,20904,195,1,0,0,140,Supreme Explorer Pro,17,16,0.9414,1588,1.0,Champion,2208.0,Champion,2100.0,,0.2378,1.0,1.0,1.0,Champion,Champion,,2.0,"[2216, 2216, 2220, 2229, 2229, 2229, 2229, 2229, 2229, 2201, 2201, 2207, 2207, 2207]","[0, 0, 1, 12, 12, 12, 12, 12, 12, 13, 13, 14, 14, 14]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
Trichter33,2021-02-05,pin/62e25938f2ec03fa30975696b2f3db35.png,center-center,pin/14e4a1b15576de8e0804e137e5e2f881.png,/user/601d95ba49c0980001a824b8,601d95ba49c0980001a824b8,Belgium,184,50,2219274,184,2205790,185,2239240,390,190,1336,1837,13,50,1100,1500,1.0,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,0.0,0.0,,pin/14e4a1b15576de8e0804e137e5e2f881.png,0.0,,3,3,1.0,29,22,0.759,18,17,0.9443,50,42,0.84,737,1.92,438,59.44,590.5,3241,972,2.082,572,58.84,3372,76.94,81,3,1,0,0.0,0,0.0,0,0.0,0,0,0,335,1.125,293,87.44,360.2,2340,0,437,1.431,249,56.97,391.0,4176,15,402,1.368,254,63.2,574.0,3451,21,1174,1.308,796,67.8,441.8,9967,36,18,0,0,184,Ultimate Explorer Supreme,0,0,0.0,408,1.0,Champion,2122.0,Champion,2028.0,1872.0,0.2568,3.0,1.0,4.0,Champion,Champion,,3.0,"[2057, 2057, 2067, 2109, 2109, 2109, 2109, 2117, 2117, 2117, 2117, 2117, 2117, 2122]","[0, 0, 1, 4, 4, 4, 4, 5, 5, 5, 5, 5, 10, 18]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
no need to argue,2021-12-30,pin/dc7be4bdcea5b198a02c991b94a20238.png,center-center,pin/037b077b766e9d14e9652e85893531b7.png,/user/61cdfc02f6470200011a0caa,61cdfc02f6470200011a0caa,Russian Federation,163,50,1595167,163,1577670,164,1604480,370,170,1337,1838,11,50,1100,1500,1.0,2025-02-20T19:11:23.4040000Z,2025-02-20T19:11:23.4040000Z,0.0,0.0,2025-03-22T19:11:23.4040000Z,pin/037b077b766e9d14e9652e85893531b7.png,0.0,2024-11-28T08:55:00.0000000Z,44,30,0.6816,1918,1396,0.728,573,405,0.707,2535,1831,0.722,20,2.55,10,50.0,310.0,293,929,3.07,206,22.17,6303,61.94,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,674,1.482,349,51.78,815.0,4971,34,7007,1.428,4010,57.22,449.0,66796,181,1885,1.567,815,43.25,1544.0,12914,105,9566,1.492,5174,54.1,936.0,84681,320,0,0,0,163,Ultimate Explorer,59,57,0.9663,271,1.0,Champion,2120.0,Champion,2020.0,,0.552,4.0,1.0,3.0,Champion,Champion,,4.0,"[2086, 2086, 2108, 2104, 2129, 2140, 2140, 2140, 2140, 2140, 2140, 2153, 2159, 2110]","[0, 0, 2, 20, 26, 27, 27, 27, 27, 27, 27, 28, 29, 89]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
BarryTheBee,2022-07-01,pin/b8f1d9e1737f4646850c584324e3cda0.png,center-center,pin/32e4464f7f3d973a6eb19b3a26e165a9.png,/user/62be7867aa13616722f8dd4a,62be7867aa13616722f8dd4a,United States of America,177,50,1991858,177,1980860,178,2012010,380,180,1316,1817,12,50,1100,1500,1.0,2023-05-27T00:02:51.8350000Z,2023-05-27T00:02:51.8350000Z,0.0,0.0,,pin/32e4464f7f3d973a6eb19b3a26e165a9.png,0.0,,10,7,0.7,399,239,0.599,318,189,0.594,727,435,0.598,18,3.166,8,44.44,682.5,107,18,4.555,4,22.22,66,75.75,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,2874,1.459,1555,54.12,758.0,23333,55,6759,1.424,3895,57.62,400.0,64700,170,4816,1.446,2665,55.34,674.0,41492,156,14449,1.443,8115,56.16,610.5,129525,381,0,0,0,177,Ultimate Explorer Pro,30,27,0.9,280,1.0,Champion,2112.0,Champion,1939.0,1918.0,0.4094,2.0,1.0,8.0,Champion,Champion,1622.0,5.0,"[1872, 1999, 1872, 1939, 2024, 1994, 1926, 1925, 1977, 1910, 1999, 1919, 1969, 2072]","[0, 0, 83, 134, 202, 221, 266, 277, 299, 353, 375, 430, 493, 574]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
Moo,2021-02-28,pin/b0484afc6eb3d670b8c7c0d09e294646.png,center-center,pin/1aa1ddaa2a6f5eeb7ead3f7bceb706b2.png,/user/603b1b0d5cdb1b0001bbf19e,603b1b0d5cdb1b0001bbf19e,Canada,157,50,1424844,157,1423030,158,1448070,360,160,1261,1762,-18,50,1100,1500,1.0,2000-01-01T00:00:00.0000000Z,2000-01-01T00:00:00.0000000Z,0.0,0.0,,pin/1aa1ddaa2a6f5eeb7ead3f7bceb706b2.png,0.0,,66,57,0.864,473,352,0.744,209,137,0.6553,748,546,0.73,84,3.166,35,41.66,440.2,599,674,3.096,289,42.88,3220,69.7,0,0,0,20,1.3,15,0.75,275,0.691,0,0,0,1075,1.257,799,74.3,429.5,9074,12,777,1.321,527,67.8,351.5,7267,30,171,1.403,102,59.66,687.0,1483,7,2023,1.327,1428,70.56,489.5,17824,49,0,0,0,157,Supreme Explorer Elite,66,63,0.9546,3094,1.0,Champion,2108.0,Champion,2019.0,,0.3828,0.0,1.0,3.0,Champion,Champion,,6.0,"[2040, 2040, 2040, 2040, 2040, 2040, 2040, 2040, 2101, 2101, 2098, 2109, 2109, 2109]","[0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 8, 12, 12, 12]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
kent,2020-11-08,pin/a7114a4ab162ae7387efb365e4a326c6.png,center-center,pin/ab62d5740b5fd45acdbacff372e74b63.png,/user/5fa7ab03b45c670001342904,5fa7ab03b45c670001342904,Japan,180,50,2083489,180,2075290,181,2107420,390,190,1300,1801,-21,50,1100,1500,1.0,2024-10-13T06:25:54.0420000Z,2024-10-13T06:25:54.0420000Z,0.0,0.0,,pin/ab62d5740b5fd45acdbacff372e74b63.png,0.0,,13,8,0.615,81,54,0.6665,50,27,0.54,144,89,0.618,92,2.314,40,43.47,853.5,1129,122,2.115,64,52.47,871,69.44,0,0,0,1,1.0,1,1.0,11,0.909,0,0,0,2732,1.249,2052,75.1,409.5,22533,38,1305,1.412,767,58.78,373.2,12668,30,802,1.42,465,57.97,686.0,6884,33,4839,1.36,3284,67.9,489.5,42085,101,0,0,0,180,Ultimate Explorer Supreme,0,0,0.0,679,1.0,Champion,2106.0,Champion,1972.0,1961.0,0.4648,3.0,1.0,10.0,Champion,Champion,1725.0,7.0,"[1990, 2000, 2000, 2000, 2007, 2014, 2014, 2002, 2001, 2001, 1993, 1990, 2049, 2106]","[0, 0, 0, 0, 3, 10, 10, 17, 24, 24, 31, 47, 51, 61]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
Geooo,2021-01-10,pin/8e162ac2b665551f76706127aef1c8e3.png,center-center,pin/748094076d18fe9cb5631c54fb84b1ee.png,/user/5ffb5e4975d2770001545cf5,5ffb5e4975d2770001545cf5,United Kingdom,200,50,4674712,200,2782050,200,2782050,410,200,1549,2050,8,50,1100,1500,1.0,2024-12-28T20:57:13.1910000Z,2024-12-28T20:57:13.1910000Z,0.0,0.0,,pin/748094076d18fe9cb5631c54fb84b1ee.png,0.0,,44,30,0.6816,576,376,0.653,363,255,0.7026,983,661,0.6724,1685,4.254,357,21.19,715.0,10948,3779,3.893,1019,26.95,22633,71.1,49,12,7,53,1.868,28,0.5283,810,0.7456,7,2,0,3183,1.221,2481,77.94,377.5,26293,99,3664,1.327,2466,67.3,319.8,35813,140,4189,1.284,2997,71.56,487.5,35423,275,11036,1.277,7944,72.0,395.0,97529,514,6,0,0,200,Ultimate Master Explorer,43,41,0.9536,2812,1.0,Champion,2104.0,Champion,2120.0,1940.0,0.7065,1.0,1.0,1.0,Champion,Champion,1883.0,8.0,"[2381, 2381, 2381, 2395, 2395, 2395, 2395, 2395, 2395, 2395, 2395, 2395, 2395, 2145]","[0, 0, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 35]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
John Brzenk,2024-05-30,pin/c54d9bac673caa4d768ec00e8c1646d0.png,center-center,pin/c8df1cd5aeeb393babd3efbaea0f91ff.png,/user/6658d1c9b31af2f10a86b774,6658d1c9b31af2f10a86b774,United States of America,83,50,261352,83,254280,84,262660,260,90,1377,1878,14,50,1100,1500,1.0,2024-06-30T00:05:47.6180000Z,2024-06-30T00:05:47.6180000Z,0.0,0.0,,pin/c8df1cd5aeeb393babd3efbaea0f91ff.png,0.0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,45,1.0,45,100.0,28.45,194,29,308,1.27,225,73.06,324.0,2850,35,0,0.0,0,0.0,0.0,0,0,353,0.7563,270,76.5,117.5,3044,64,0,0,0,83,Globetrotter,0,0,0.0,96,1.0,Champion,2100.0,Champion,2013.0,,0.2786,0.0,1.0,6.0,Champion,Champion,,9.0,"[2057, 2057, 2057, 2066, 2066, 2066, 2066, 2066, 2066, 2066, 2101, 2101, 2101, 2101]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 11, 11, 11, 11]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
leero,2022-10-03,pin/16d244a43b8e587de7544895c2df10cb.png,center-center,pin/12143fe1322a4fa91e7bbde150224648.png,/user/633a62ba560e8238dea97807,633a62ba560e8238dea97807,Australia,200,50,3852048,200,2782050,200,2782050,410,200,1506,2007,13,50,1100,1500,1.0,2022-11-09T23:43:40.1680000Z,2022-11-09T23:43:40.1680000Z,0.0,0.0,,pin/12143fe1322a4fa91e7bbde150224648.png,0.0,,6,5,0.8335,67,54,0.806,44,34,0.773,117,93,0.795,3,6.0,0,0.0,774.5,7,5,3.4,1,20.0,16,87.5,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,296,1.257,220,74.3,336.2,2510,1,515,1.361,329,63.88,305.2,5222,13,357,1.342,235,65.8,529.5,3135,22,1168,1.32,784,67.1,390.2,10867,36,0,0,0,200,Ultimate Master Explorer,0,0,0.0,75,1.0,Champion,2088.0,Champion,1947.0,1994.0,0.467,0.0,1.0,3.0,Champion,Champion,,10.0,"[2089, 2097, 2053, 2076, 2126, 2124, 2118, 2127, 2137, 2114, 2114, 2107, 2107, 2088]","[0, 1, 8, 10, 41, 44, 46, 47, 48, 49, 49, 52, 52, 53]","['02-08-2025', '02-09-2025', '02-10-2025', '02-11-2025', '02-12-2025', '02-13-2025', '02-14-2025', '02-15-2025', '02-16-2025', '02-17-2025', '02-18-2025', '02-19-2025', '02-20-2025', '02-21-2025']",02-21-2025 22:21:53
